,Lot Area,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Yr Blt,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,SalePrice
10,10000,1993,1994,0.0,0.0,0.0,763.0,763.0,763,892,0,1655,0.0,0.0,2,1,3,1,7,1,1993.0,2.0,440.0,157,84,0,0,0,0,0,4,2010,175900
11,7980,1992,2007,0.0,935.0,0.0,233.0,1168.0,1187,0,0,1187,1.0,0.0,2,0,3,1,6,0,1992.0,2.0,420.0,483,21,0,0,0,0,500,3,2010,185000
12,8402,1998,1998,0.0,0.0,0.0,789.0,789.0,789,676,0,1465,0.0,0.0,2,1,3,1,7,1,1998.0,2.0,393.0,0,75,0,0,0,0,0,5,2010,180400
13,10176,1990,1990,0.0,637.0,0.0,663.0,1300.0,1341,0,0,1341,1.0,0.0,1,1,2,1,5,1,1990.0,2.0,506.0,192,0,0,0,0,0,0,2,2010,171500
14,6820,1985,1985,0.0,368.0,1120.0,0.0,1488.0,1502,0,0,1502,1.0,0.0,1,1,1,1,4,0,1985.0,2.0,528.0,0,54,0,0,140,0,0,6,2010,212000
15,53504,2003,2003,603.0,1416.0,0.0,234.0,1650.0,1690,1589,0,3279,1.0,0.0,3,1,4,1,12,1,2003.0,3.0,841.0,503,36,0,0,210,0,0,6,2010,538000
16,12134,1988,2005,0.0,427.0,0.0,132.0,559.0,1080,672,0,1752,0.0,0.0,2,0,4,1,8,0,1988.0,2.0,492.0,325,12,0,0,0,0,0,6,2010,164000
17,11394,2010,2010,350.0,1445.0,0.0,411.0,1856.0,1856,0,0,1856,1.0,0.0,1,1,1,1,8,1,2010.0,3.0,834.0,113,0,0,0,0,0,0,6,2010,394432
18,19138,1951,1951,0.0,120.0,0.0,744.0,864.0,864,0,0,864,0.0,0.0,1,0,2,1,4,0,1951.0,2.0,400.0,0,0,0,0,0,0,0,6,2010,141000
19,13175,1978,1988,119.0,790.0,163.0,589.0,1542.0,2073,0,0,2073,1.0,0.0,2,0,3,1,7,2,1978.0,2.0,500.0,349,0,0,0,0,0,0,2,2010,210000
20,11751,1977,1977,480.0,705.0,0.0,1139.0,1844.0,1844,0,0,1844,0.0,0.0,2,0,3,1,7,1,1977.0,2.0,546.0,0,122,0,0,0,0,0,1,2010,190000
21,10625,1974,1974,81.0,885.0,168.0,0.0,1053.0,1173,0,0,1173,1.0,0.0,2,0,3,1,6,2,1974.0,2.0,528.0,0,120,0,0,0,0,0,1,2010,170000
22,7500,2000,2000,0.0,533.0,0.0,281.0,814.0,814,860,0,1674,1.0,0.0,2,1,3,1,7,0,2000.0,2.0,663.0,0,96,0,0,0,0,0,1,2010,216000
23,11241,1970,1970,180.0,578.0,0.0,426.0,1004.0,1004,0,0,1004,1.0,0.0,1,0,2,1,5,1,1970.0,2.0,480.0,0,0,0,0,0,0,700,3,2010,149000
24,12537,1971,2008,0.0,734.0,0.0,344.0,1078.0,1078,0,0,1078,1.0,0.0,1,1,3,1,6,1,1971.0,2.0,500.0,0,0,0,0,0,0,0,4,2010,149900
25,8450,1968,1968,0.0,775.0,0.0,281.0,1056.0,1056,0,0,1056,1.0,0.0,1,0,3,1,6,1,1968.0,1.0,304.0,0,85,184,0,0,0,0,7,2010,142000
26,8400,1970,1970,0.0,804.0,78.0,0.0,882.0,882,0,0,882,1.0,0.0,1,0,2,1,4,0,1970.0,2.0,525.0,240,0,0,0,0,0,0,4,2010,126000
28,5858,1999,1999,0.0,1051.0,0.0,354.0,1405.0,1337,0,0,1337,1.0,0.0,2,0,2,1,5,1,1999.0,2.0,511.0,203,68,0,0,0,0,0,6,2010,184000
29,1680,1971,1971,504.0,156.0,0.0,327.0,483.0,483,504,0,987,0.0,0.0,1,1,2,1,5,0,1971.0,1.0,264.0,275,0,0,0,0,0,0,2,2010,96000
30,1680,1971,1971,492.0,300.0,0.0,225.0,525.0,525,567,0,1092,0.0,0.0,1,1,3,1,6,0,1997.0,1.0,320.0,0,0,0,0,0,0,0,3,2010,105500
31,1680,1971,1971,381.0,0.0,0.0,525.0,525.0,525,567,0,1092,0.0,0.0,1,1,3,1,6,0,1971.0,1.0,264.0,0,0,0,0,0,0,0,3,2010,88000
32,4043,1977,1977,0.0,360.0,0.0,709.0,1069.0,1069,0,0,1069,0.0,0.0,2,0,2,1,4,1,1977.0,2.0,440.0,0,55,0,0,165,0,0,7,2010,127500
33,2280,1975,1975,0.0,514.0,0.0,341.0,855.0,855,601,0,1456,0.0,0.0,2,1,3,1,6,1,1975.0,2.0,440.0,173,0,0,0,0,0,0,6,2010,149900
34,2280,1975,1975,0.0,0.0,0.0,836.0,836.0,836,0,0,836,0.0,0.0,1,0,2,1,4,0,1975.0,1.0,308.0,0,30,0,0,0,0,0,6,2010,120000
35,2280,1978,1978,0.0,311.0,0.0,544.0,855.0,855,601,0,1456,0.0,0.0,2,1,3,1,7,1,1978.0,2.0,440.0,26,0,0,0,0,0,0,7,2010,146000
36,12858,2009,2010,162.0,0.0,0.0,1590.0,1590.0,1627,707,0,2334,0.0,0.0,2,1,3,1,10,1,2009.0,3.0,751.0,144,133,0,0,0,0,0,1,2010,376162
37,11478,2007,2008,200.0,1218.0,0.0,486.0,1704.0,1704,0,0,1704,1.0,0.0,2,0,3,1,7,1,2008.0,3.0,772.0,0,50,0,0,0,0,0,5,2010,306000
38,10159,2009,2010,450.0,1646.0,0.0,284.0,1930.0,1940,0,0,1940,1.0,0.0,2,1,3,1,8,1,2010.0,3.0,606.0,168,95,0,0,0,0,0,4,2010,395192
39,12883,2009,2010,256.0,0.0,0.0,1544.0,1544.0,1544,0,0,1544,0.0,0.0,2,0,3,1,7,0,2009.0,3.0,868.0,0,35,0,0,0,0,0,6,2010,290941
40,12182,2005,2005,226.0,1201.0,0.0,340.0,1541.0,1541,0,0,1541,0.0,0.0,2,0,3,1,7,1,2005.0,2.0,532.0,0,70,0,0,0,0,0,5,2010,220000
41,11520,2005,2005,615.0,110.0,0.0,1588.0,1698.0,1698,0,0,1698,0.0,0.0,2,0,3,1,7,1,2005.0,3.0,730.0,192,74,0,0,0,0,0,6,2010,275000
42,14122,2005,2006,240.0,28.0,0.0,1794.0,1822.0,1822,0,0,1822,0.0,0.0,2,0,3,1,8,1,2005.0,3.0,678.0,0,119,0,0,0,0,0,2,2010,259000
43,10171,2004,2004,168.0,2.0,0.0,1515.0,1517.0,1535,0,0,1535,0.0,0.0,2,0,3,1,7,0,2004.0,2.0,532.0,0,0,0,0,0,0,0,3,2010,214000
44,12919,2009,2010,760.0,2188.0,0.0,142.0,2330.0,2364,0,0,2364,1.0,0.0,2,1,2,1,11,2,2009.0,3.0,820.0,0,67,0,0,0,0,0,3,2010,611657
45,6371,2009,2010,128.0,733.0,0.0,625.0,1358.0,1358,0,0,1358,1.0,0.0,2,0,2,1,6,1,2010.0,2.0,484.0,192,35,0,0,0,0,0,6,2010,224000
46,14300,2003,2004,1095.0,1373.0,0.0,1473.0,2846.0,2696,0,0,2696,1.0,0.0,2,1,3,1,10,2,2003.0,3.0,958.0,220,150,0,0,0,0,0,6,2010,500000
47,13650,2002,2002,232.0,578.0,0.0,1093.0,1671.0,1687,563,0,2250,1.0,0.0,2,1,3,1,7,1,2002.0,3.0,756.0,238,130,0,0,0,0,0,6,2010,320000
48,7658,2005,2005,412.0,456.0,0.0,1296.0,1752.0,1752,0,0,1752,1.0,0.0,2,0,2,1,6,1,2005.0,2.0,576.0,196,82,0,0,0,0,0,2,2010,319900
49,7132,2006,2006,178.0,24.0,0.0,1346.0,1370.0,1370,0,0,1370,0.0,0.0,2,0,2,1,6,1,2006.0,2.0,484.0,120,49,0,0,0,0,0,4,2010,205000
50,2628,2003,2003,106.0,0.0,0.0,764.0,764.0,764,862,0,1626,0.0,0.0,2,1,2,1,6,0,2003.0,2.0,474.0,0,27,0,0,0,0,0,6,2010,175500
51,18494,2005,2005,0.0,0.0,0.0,1324.0,1324.0,1324,0,0,1324,0.0,0.0,2,0,3,1,6,0,2005.0,2.0,430.0,36,23,0,0,0,0,0,1,2010,199500
52,3203,2006,2006,14.0,16.0,0.0,1129.0,1145.0,1145,0,0,1145,0.0,0.0,2,0,2,1,6,0,2006.0,2.0,437.0,100,116,0,0,0,0,0,1,2010,160000
53,3182,2004,2005,16.0,24.0,0.0,1232.0,1256.0,1269,0,0,1269,0.0,0.0,2,0,2,1,6,1,2004.0,2.0,430.0,146,20,0,0,144,0,0,4,2010,192000
54,13300,2004,2004,0.0,326.0,0.0,58.0,384.0,744,630,0,1374,1.0,0.0,2,1,3,1,7,1,2004.0,2.0,400.0,100,0,0,0,0,0,0,6,2010,184500
56,8577,2004,2004,0.0,0.0,0.0,847.0,847.0,847,886,0,1733,0.0,0.0,2,1,3,1,7,1,2004.0,2.0,433.0,144,48,0,0,0,0,0,4,2010,185088
57,7750,2000,2000,0.0,250.0,0.0,134.0,384.0,774,656,0,1430,0.0,0.0,2,1,3,1,7,1,2000.0,2.0,400.0,180,0,0,0,0,0,0,4,2010,180000
58,9505,2001,2001,180.0,0.0,0.0,884.0,884.0,884,1151,0,2035,0.0,0.0,2,1,3,1,8,1,2001.0,2.0,434.0,144,48,0,0,0,0,0,5,2010,222500
59,14774,1999,1999,165.0,0.0,0.0,1393.0,1393.0,1422,1177,0,2599,0.0,0.0,2,1,4,1,10,1,1999.0,3.0,779.0,668,30,0,0,0,0,0,5,2010,333168
60,17433,1998,1998,114.0,0.0,0.0,1629.0,1629.0,1645,830,0,2475,0.0,0.0,2,1,4,1,7,1,1998.0,3.0,962.0,23,172,0,0,256,0,0,1,2010,355000
61,10593,1996,1996,338.0,919.0,0.0,801.0,1720.0,1720,0,0,1720,1.0,0.0,2,0,3,1,7,1,1996.0,2.0,527.0,240,56,154,0,0,0,0,3,2010,260400
62,12256,1994,1995,362.0,1032.0,0.0,431.0,1463.0,1500,1122,0,2622,1.0,0.0,2,1,3,1,9,2,1994.0,2.0,712.0,186,32,0,0,0,0,0,4,2010,325000
63,11764,1999,2007,348.0,524.0,0.0,628.0,1152.0,1164,1106,0,2270,0.0,0.0,2,1,4,1,9,1,1999.0,3.0,671.0,132,57,0,0,0,0,0,4,2010,290000
64,16770,1998,1998,30.0,0.0,0.0,1195.0,1195.0,1195,644,0,1839,0.0,0.0,2,1,4,1,7,0,1998.0,2.0,486.0,0,81,0,0,0,0,0,6,2010,221000
65,14720,1995,1996,579.0,816.0,0.0,1217.0,2033.0,2053,1185,0,3238,1.0,0.0,2,1,4,1,9,1,1996.0,3.0,666.0,283,86,0,0,0,0,0,3,2010,410000
66,8987,2005,2006,226.0,0.0,0.0,1595.0,1595.0,1595,0,0,1595,0.0,0.0,2,0,2,1,6,1,2005.0,3.0,880.0,144,0,0,0,0,0,0,5,2010,221500
67,9215,2009,2010,0.0,0.0,0.0,1218.0,1218.0,1218,0,0,1218,0.0,0.0,2,0,2,1,4,0,2009.0,2.0,676.0,0,136,0,0,0,0,0,4,2010,204500
68,8640,2009,2009,0.0,24.0,0.0,732.0,756.0,764,783,0,1547,0.0,0.0,2,1,3,1,7,0,2009.0,2.0,614.0,169,45,0,0,0,0,0,6,2010,215200
69,9000,2008,2008,36.0,1078.0,0.0,488.0,1566.0,1566,0,0,1566,1.0,0.0,2,0,3,1,7,0,2008.0,2.0,750.0,144,168,0,0,0,0,0,4,2010,262500
70,12552,2004,2005,0.0,222.0,0.0,769.0,991.0,991,956,0,1947,0.0,0.0,2,1,3,1,8,1,2004.0,2.0,678.0,0,136,0,0,0,0,0,5,2010,254900
71,10440,2005,2005,0.0,1414.0,0.0,54.0,1468.0,1468,0,0,1468,1.0,0.0,2,0,2,1,6,1,2005.0,2.0,528.0,0,102,0,0,216,0,0,5,2010,271500
72,10142,2004,2004,0.0,656.0,0.0,300.0,956.0,956,1128,0,2084,1.0,0.0,2,1,4,1,8,0,2004.0,2.0,618.0,0,45,0,0,0,0,0,1,2010,233000
73,11920,2004,2004,122.0,0.0,0.0,831.0,831.0,831,828,0,1659,0.0,0.0,2,1,3,1,8,0,2004.0,2.0,484.0,144,68,0,0,0,0,0,4,2010,181000
74,8880,1994,2002,0.0,695.0,0.0,253.0,948.0,1222,888,0,2110,1.0,0.0,2,1,3,1,8,2,1994.0,2.0,463.0,0,130,0,0,0,0,0,5,2010,205000
75,8012,1980,1980,0.0,543.0,119.0,261.0,923.0,923,0,0,923,0.0,0.0,2,0,2,1,5,1,1980.0,1.0,264.0,80,0,0,0,0,0,0,5,2010,143000
76,11218,1992,1992,0.0,0.0,0.0,1055.0,1055.0,1055,790,0,1845,0.0,0.0,2,1,3,1,8,1,1992.0,2.0,462.0,635,104,0,0,0,0,400,5,2010,189000
77,7892,1979,1979,0.0,0.0,0.0,918.0,918.0,918,0,0,918,0.0,0.0,2,0,2,1,5,1,1979.0,1.0,264.0,28,0,0,0,0,0,0,4,2010,99500
78,7175,1984,1984,0.0,623.0,121.0,0.0,744.0,752,0,0,752,1.0,0.0,1,0,2,1,4,0,1984.0,1.0,264.0,353,0,0,0,90,0,0,2,2010,125000
79,9453,1993,2003,0.0,402.0,0.0,594.0,996.0,1014,730,0,1744,0.0,0.0,2,1,3,1,7,0,1993.0,2.0,457.0,370,70,0,238,0,0,0,2,2010,194500
80,9672,1984,1985,0.0,338.0,0.0,702.0,1040.0,1097,0,0,1097,0.0,0.0,2,0,3,1,6,0,1986.0,2.0,480.0,0,0,0,0,0,0,0,5,2010,152000
81,8400,1980,1981,130.0,0.0,0.0,650.0,650.0,888,676,0,1564,0.0,0.0,2,1,3,1,7,1,1980.0,2.0,476.0,0,50,0,0,204,0,0,4,2010,171000
82,9800,1920,1950,0.0,0.0,0.0,816.0,816.0,1012,0,0,1012,0.0,0.0,1,0,2,1,5,0,1920.0,1.0,429.0,121,0,80,0,0,0,0,4,2010,67500
83,8930,1978,1978,0.0,0.0,0.0,0.0,0.0,1318,584,0,1902,0.0,0.0,2,0,4,2,8,0,1978.0,2.0,539.0,0,0,0,0,0,0,0,4,2010,112000
84,11782,1961,1995,0.0,899.0,0.0,210.0,1109.0,1155,0,0,1155,1.0,0.0,1,0,3,1,6,0,1987.0,2.0,576.0,192,0,0,0,0,0,400,6,2010,148000
85,8450,1965,2009,0.0,553.0,117.0,224.0,894.0,894,0,0,894,1.0,0.0,1,0,3,1,5,1,1973.0,1.0,336.0,416,144,0,0,0,0,0,4,2010,138500
86,9819,1967,1967,31.0,450.0,0.0,432.0,882.0,900,0,0,900,0.0,0.0,1,0,3,1,5,0,1970.0,1.0,280.0,0,0,0,0,0,0,0,2,2010,122000
87,7500,1963,1963,0.0,824.0,0.0,216.0,1040.0,1040,0,0,1040,1.0,0.0,1,1,3,1,5,0,1963.0,1.0,308.0,0,0,220,0,0,0,0,6,2010,133000
88,6897,1962,2010,0.0,659.0,0.0,381.0,1040.0,1040,0,0,1040,1.0,0.0,1,1,3,1,6,0,1962.0,1.0,260.0,0,104,0,0,0,0,0,4,2010,127000
89,15410,1974,2002,250.0,126.0,859.0,223.0,1208.0,1494,0,0,1494,1.0,0.0,2,0,3,1,7,2,1974.0,2.0,461.0,296,0,186,0,0,0,0,4,2010,169000
90,10186,1992,1992,0.0,674.0,0.0,76.0,750.0,1061,862,0,1923,1.0,0.0,2,1,3,1,8,1,1992.0,2.0,564.0,240,39,0,0,0,0,0,6,2010,190000
91,13143,1993,1993,504.0,250.0,981.0,0.0,1231.0,1251,1098,0,2349,1.0,0.0,2,1,4,1,9,1,1993.0,3.0,762.0,32,130,0,0,0,0,0,6,2010,362500
92,11134,1992,1993,180.0,1129.0,0.0,261.0,1390.0,1402,823,0,2225,1.0,0.0,2,1,4,1,7,1,1992.0,3.0,713.0,198,30,0,0,0,0,0,6,2010,285000
93,4835,2004,2005,0.0,1298.0,0.0,190.0,1488.0,1488,0,0,1488,1.0,0.0,2,0,2,1,6,1,2004.0,2.0,506.0,168,50,0,0,0,0,0,3,2010,260000
94,3515,2004,2004,0.0,0.0,0.0,840.0,840.0,840,840,0,1680,0.0,0.0,2,1,2,1,3,0,2004.0,2.0,588.0,0,111,0,0,0,0,0,1,2010,190000
95,3215,2004,2004,120.0,280.0,0.0,320.0,600.0,600,600,0,1200,0.0,0.0,2,1,2,1,4,0,2004.0,2.0,480.0,0,172,0,0,0,0,0,4,2010,155000
96,3182,2004,2005,0.0,0.0,0.0,600.0,600.0,600,600,0,1200,0.0,0.0,2,1,2,1,4,0,2004.0,2.0,480.0,0,172,0,0,0,0,0,6,2010,151000
97,2544,2004,2005,0.0,368.0,42.0,190.0,600.0,600,600,0,1200,1.0,0.0,2,1,2,1,4,0,2004.0,2.0,480.0,0,172,0,0,0,0,0,2,2010,149500
98,2544,2005,2005,216.0,376.0,0.0,224.0,600.0,600,636,0,1236,1.0,0.0,2,1,2,1,4,0,2005.0,2.0,480.0,0,166,0,0,0,0,0,5,2010,152000
99,4403,2009,2009,432.0,578.0,0.0,892.0,1470.0,1478,0,0,1478,1.0,0.0,2,1,2,1,7,1,2009.0,2.0,484.0,0,144,0,0,0,0,0,6,2010,222000
100,2117,2000,2000,216.0,378.0,0.0,378.0,756.0,769,804,0,1573,0.0,0.0,2,1,3,1,5,0,2000.0,2.0,440.0,0,32,0,0,0,0,0,6,2010,177500
101,2980,2000,2000,1159.0,466.0,0.0,290.0,756.0,756,756,0,1512,1.0,0.0,2,1,2,1,5,0,2000.0,2.0,440.0,0,32,0,0,0,0,0,5,2010,177000
102,2572,1999,1999,0.0,604.0,0.0,92.0,696.0,696,720,0,1416,1.0,0.0,2,1,3,1,6,0,1999.0,2.0,484.0,0,44,0,0,0,0,0,5,2010,155000
103,2403,2003,2003,0.0,244.0,0.0,286.0,530.0,530,550,0,1080,0.0,0.0,2,1,2,1,4,0,2003.0,2.0,496.0,0,50,0,0,0,0,0,6,2010,147110
104,12853,2010,2010,0.0,1032.0,0.0,610.0,1642.0,1418,0,0,1418,1.0,0.0,1,1,1,1,6,1,2010.0,3.0,852.0,160,192,0,224,0,0,0,4,2010,267916
105,7379,2000,2000,0.0,484.0,0.0,491.0,975.0,975,873,0,1848,1.0,0.0,2,1,3,1,7,1,2000.0,2.0,592.0,280,184,0,0,0,0,0,4,2010,254000
106,4420,1980,1980,0.0,728.0,0.0,0.0,728.0,788,0,0,788,1.0,0.0,1,0,1,1,3,1,1980.0,2.0,484.0,133,42,0,0,0,0,0,6,2010,155000
107,3880,1978,1978,0.0,1052.0,0.0,174.0,1226.0,1226,0,0,1226,1.0,0.0,1,0,1,1,4,1,1978.0,2.0,484.0,223,78,0,0,0,0,0,1,2010,206000
108,13517,1976,2005,289.0,533.0,0.0,192.0,725.0,725,754,0,1479,0.0,0.0,2,1,3,1,6,0,1976.0,2.0,475.0,0,44,0,0,0,0,0,3,2010,130500
109,8000,2002,2002,0.0,833.0,0.0,659.0,1492.0,1492,0,0,1492,1.0,0.0,2,0,3,1,6,1,2002.0,2.0,596.0,277,137,0,0,0,0,0,4,2010,230000
110,10456,1967,1967,120.0,506.0,0.0,1323.0,1829.0,1829,0,0,1829,1.0,0.0,2,0,4,1,8,0,1967.0,2.0,535.0,0,76,0,0,0,0,0,5,2010,218500
111,10791,1993,1993,0.0,1137.0,0.0,143.0,1280.0,1280,1215,0,2495,1.0,0.0,2,1,4,1,9,1,1993.0,2.0,660.0,224,32,0,0,0,0,0,3,2010,243500
112,10603,1977,2001,28.0,1200.0,0.0,410.0,1610.0,1610,0,0,1610,1.0,0.0,2,0,3,1,6,2,1977.0,2.0,480.0,168,68,0,0,0,0,0,2,2010,205000
113,18837,1978,1978,0.0,687.0,46.0,491.0,1224.0,1287,604,0,1891,0.0,1.0,3,0,3,1,7,1,1978.0,2.0,678.0,0,69,0,0,0,0,0,4,2010,212500
114,10421,1988,1988,42.0,394.0,0.0,586.0,980.0,980,734,0,1714,0.0,0.0,2,1,3,1,7,1,1988.0,2.0,496.0,228,66,156,0,0,0,500,3,2010,196500
115,9360,1972,2006,0.0,982.0,0.0,179.0,1161.0,1381,0,0,1381,1.0,0.0,1,1,3,1,5,1,1972.0,2.0,676.0,0,0,0,0,0,0,0,3,2010,197500
116,9600,1971,1971,0.0,329.0,0.0,386.0,715.0,930,715,0,1645,0.0,0.0,1,2,4,1,7,0,1971.0,2.0,441.0,0,78,0,0,0,0,0,6,2010,171000
117,9600,1966,1966,172.0,698.0,0.0,534.0,1232.0,1232,0,0,1232,1.0,0.0,1,1,3,1,6,0,1966.0,2.0,490.0,0,224,0,0,0,0,0,4,2010,142250
118,9790,1963,1963,451.0,569.0,81.0,678.0,1328.0,1328,0,0,1328,1.0,0.0,1,1,3,1,6,2,1963.0,2.0,528.0,0,26,0,0,0,0,0,6,2010,143000
120,9900,1966,1966,0.0,1059.0,0.0,150.0,1209.0,1209,0,0,1209,1.0,0.0,1,0,3,1,6,0,1966.0,2.0,504.0,0,0,120,0,0,0,0,4,2010,159000
121,9680,1967,1967,268.0,1010.0,0.0,500.0,1510.0,1510,0,0,1510,1.0,0.0,2,0,3,1,6,0,1967.0,2.0,517.0,0,40,0,0,204,0,0,4,2010,178900
122,10600,1964,1964,0.0,0.0,0.0,533.0,533.0,1131,644,0,1775,0.0,0.0,2,0,3,1,8,0,1964.0,2.0,480.0,0,172,0,0,0,0,0,5,2010,136300
123,14112,1964,1964,86.0,1014.0,0.0,138.0,1152.0,1152,0,0,1152,1.0,0.0,1,0,3,1,6,1,1964.0,2.0,484.0,227,0,0,0,0,0,0,4,2010,180500
124,8800,1963,1963,156.0,763.0,0.0,173.0,936.0,1054,0,0,1054,1.0,0.0,1,0,3,1,6,0,1963.0,2.0,480.0,120,0,0,0,0,0,0,5,2010,137500
126,9717,1950,1996,0.0,49.0,1029.0,0.0,1078.0,1078,0,0,1078,1.0,0.0,1,0,2,1,5,0,1950.0,1.0,240.0,366,0,112,0,0,0,0,4,2010,142125
127,9724,1952,2002,265.0,670.0,0.0,470.0,1140.0,1929,532,0,2461,0.0,0.0,2,0,3,1,7,2,1994.0,2.0,400.0,0,0,0,0,0,0,0,3,2010,197600
128,17360,1949,1950,340.0,300.0,0.0,482.0,782.0,1019,537,0,1556,0.0,0.0,2,0,3,1,6,1,1949.0,2.0,470.0,0,0,150,0,0,0,0,1,2010,172500
131,9920,1954,1954,110.0,354.0,290.0,412.0,1056.0,1063,0,0,1063,1.0,0.0,1,0,3,1,6,0,1954.0,1.0,280.0,0,0,164,0,0,0,0,2,2010,128000
132,9600,1955,1972,164.0,674.0,132.0,350.0,1156.0,1520,0,0,1520,1.0,0.0,1,0,3,1,7,2,1955.0,1.0,364.0,0,0,189,0,0,0,0,3,2010,153000
133,7800,1954,1954,200.0,540.0,0.0,728.0,1268.0,1268,0,0,1268,0.0,0.0,1,0,2,1,7,1,1954.0,1.0,244.0,0,98,0,0,0,0,0,3,2010,132000
134,11380,1966,2008,216.0,944.0,0.0,136.0,1080.0,1128,0,0,1128,1.0,0.0,1,0,2,1,5,1,1966.0,1.0,315.0,238,0,0,0,0,0,1500,1,2010,178000
135,11600,1960,1960,361.0,443.0,0.0,662.0,1105.0,1105,1169,0,2274,0.0,0.0,2,0,5,2,12,0,1960.0,2.0,480.0,0,0,0,0,0,0,0,1,2010,154300
136,19900,1970,1989,287.0,912.0,0.0,1035.0,1947.0,2207,0,0,2207,1.0,0.0,2,0,3,1,7,1,1970.0,2.0,576.0,301,0,0,0,0,0,0,7,2010,180000
137,16492,1966,2002,0.0,247.0,713.0,557.0,1517.0,1888,0,0,1888,0.0,0.0,2,1,2,1,6,1,1966.0,2.0,578.0,0,0,0,0,0,0,0,6,2010,190000
138,8267,1958,1958,0.0,0.0,0.0,1604.0,1604.0,1604,0,0,1604,0.0,0.0,2,0,4,2,8,0,1958.0,2.0,576.0,42,0,0,0,0,0,0,3,2010,135000
139,8197,2003,2009,506.0,1188.0,0.0,292.0,1480.0,1480,0,0,1480,1.0,0.0,2,0,3,1,7,0,2003.0,2.0,620.0,252,73,0,0,0,0,300,2,2010,214000
140,8050,1959,1959,150.0,856.0,162.0,125.0,1143.0,1143,0,0,1143,1.0,0.0,1,0,3,1,6,0,1959.0,1.0,308.0,0,0,0,0,0,0,0,5,2010,136000
141,10552,1959,1959,0.0,1018.0,0.0,380.0,1398.0,1700,0,0,1700,0.0,1.0,1,1,4,1,6,1,1959.0,2.0,447.0,0,38,0,0,0,0,0,4,2010,165500
142,8400,1957,1957,0.0,922.0,0.0,392.0,1314.0,1314,0,0,1314,1.0,0.0,1,0,3,1,5,0,1957.0,1.0,294.0,250,0,0,0,0,0,0,6,2010,145000
143,8760,1959,1959,220.0,0.0,0.0,1194.0,1194.0,1194,0,0,1194,1.0,0.0,1,0,3,1,6,0,1959.0,1.0,312.0,0,0,120,0,0,0,0,4,2010,148000
